標題,問題,回答
 糖尿病控制,"你好，我在照顧有糖尿病20年以上的父親，這段期間因為有控制飲食，所以他的糖化血色素由10降到6, 我想請教，每天他在打的胰島素是不是能因血糖值來做調整？應該怎麼調整？",胰島素的調整牽涉到很多環節，包含使用胰島素的種類，搭配的口服藥，日常的血糖變化，腎功能。等等，討論
 我這樣有糖尿病風險嗎,身高179 體重54 從12歲得完肺炎後就有腸躁症問題 易累 怎吃都吃不胖 14歲還車禍出現TBI症狀 從此踏上依靠甜飲不歸路 以前是一訂一杯700cc甜的茶 不喝會全身無力 頭痛 不過我餐點很清淡 早餐 頂多 一塊麵包或一小塊蛋糕 中午是白飯配雞胸肉 還有很大量青菜 豆腐 晚上同上 偶爾會吃香蕉 一天大約兩杯含糖62公克 大概三年前還出現體重掉到49情況 有去新陳代謝科抽血檢查 一切正常 後來夏天很熱 當時喝了好多。 麥當勞飲料 體重才回到60 沒喝又掉回51 去年開始會習慣喝 甜茶 分早晚喝 一杯大概32毫克 我這樣吃 會有糖尿病風險嗎 還有我最近發現 有多喝很甜運動飲料 精神會好一點 沒喝又回疲勞狀態,糖尿病風險非常複雜 還包括體質以及遺傳因素 可能無法一概而論 不過建議可以減少含糖飲料攝取和多運動 確實可以減少發生機會 另外 建議可以定期驗血糖 這也可以做一個參考 謝謝您的提問
 糖尿病 飯後血糖飆高,關於一些糖尿病的問題想詢問您。 我爸爸前陣子被診斷出有第二型糖尿病，因此在飲食上都有控制，每天晚上也有規律運動，一開始都飯前、飯後血糖維持得不錯，但後來開始會有飯後血糖飆高的問題，可是每餐的營養量是差不多的，是哪裡出了問題? 例如今天 中午 飯前血糖為96 飯後血糖飆到223 午飯內容為:五穀飯160g、一碗地瓜葉、2條魚、一碗紫菜冬瓜湯。 飯前血糖為112 用藥量為1顆半 飯後血糖為203 晚飯內容為:五穀飯160g、(蔥蛋、地瓜葉、黃空菜、冬瓜2塊、紫菜)共一盤。 爸爸有抽菸，想詢問醫生，抽菸的多寡是否也會影響血糖? 您的回覆！,1：看起來飲食控制得很嚴格，可是飯後血糖還是降不下來，討論用藥的調整，幫助餐後血糖下降 2：抽菸會加速大小血管病變，建議要戒菸
 是否糖尿病前期？,我有時候在午餐飯後約兩小時會容易餓且有類似低血糖的症狀（但晚餐飯後不會），半年前去檢查空腹血糖101，飯後兩小時血糖71，醣化血色素正常，醫生說是糖尿病前期。分別做空腹血糖和醣化血色素，結果都正常，但是之前那些症狀還是有時候會出現，本身常久坐不常運動但體重正常，阿嬤有糖尿病但爸爸沒有。，我這樣算是糖尿病前期嗎？飯後血糖若比飯前低是否為胰島素延遲？若為糖尿病前期還有可能恢復正常嗎？謝謝,空腹血糖值的範圍介於15毫克/毫升之間即為:空腹血糖偏高(IFG)， 又被稱為「早期糖尿病」或是潛伏性糖尿病或是糖尿病前期 (prediabetes)。 此時，飲食控制和多運動對於血糖值可以有幫忙
 第二型糖尿病 確診年,第二型糖尿病 確診8年 最近抽血報告 AC:檢查值115 正常標準值0 HbA1C :檢查值3 正常標準值 Triglyceride :檢查值59 正常標準值<150 Cholesterol :檢查值170 正常標準值 <200 糖尿<160 HDL-Cho:檢查值55 正常標準值>40 LDL-Cho:檢查值110 正常標準值<130糖尿<100心血管<70 Creatinine:檢查值80 正常標準值.4 UA:檢查值6正常標準值 男:.0 Microalbumin:檢查值65mg/L 正常標準值<29mg/L 第二型糖尿病 確診8追蹤吃metformin 500mg 一天一顆 疑問:我的報告有哪些需注意或者異常或者需轉診,除血糖值及糖化血色素偏高之外，其餘在正常範圍，請持續規則服藥並飲食控制及運動控制，定期追蹤
 糖尿病前期及高血壓,我有高血壓的問題，近來也被醫生診斷出有血糖過高的狀況，請問糖尿病前期有機會痊癒嗎？另外因為有高血壓的問題 ，我是否能做重量訓練？,血糖過高不知是多高，糖尿病是慢性病 一旦確診糖尿病，就只能控制而無法根治 不知血壓控制情形如何，也不知您血壓多高 更不知重量訓練內容與您的BMI、體適能的狀況 建議與您健身教練討論後再視您身體情況，保持 適量運動有助於血壓控制
 糖尿病運動問題,"我有糖尿病前期的問題，血糖值大約在110上下，所以想規律的作運動，最近很流行作tabata的間歇性運動，它說只要作4到8分鐘，相當於其他作30分鐘的運動，但我的疑問是，電視上說要連續作30分鐘以上的運動比較好 好像是說前15分鐘是降血糖之類的效果，但是作tabata,這種運動幾乎都是在5分鐘左右就結束了，這樣對於控制血糖有效果嗎？還是一定只能作30分鐘以上的運動才有用呢（如慢跑之類的）？",高強度間歇性運動方式對血糖的影響，目前相關的研究比較少， 其結果對血糖的影響，好像也比較偏向正面。但是，做此運動前， 要先做風險評估
 糖尿病檢查相關問題,醫生你好: 我想要請問一下 正常民眾需要多久去檢查一次自己是否有罹患糖尿病的風險? 做檢查? 是跟健康檢查一樣嗎一年檢查一次 還是需要依照不同醫生所給的醫囑為主 謝謝!,一般來說，需依每個人的狀況，如年齡，體重，家族史，用藥史，症狀，是否有其他疾病等，做不同的判斷。 糖尿病患也是一樣，須依照他本身的情況做判斷。 建議如有相關問題，當面看診。 謝謝
 C-Peptide偏低,您好： 我現在空腹血糖90和飯後2小時80算正常，但糖化血色素2，胜肽胰島素只有6。 大約1年半前，體重開始突然明顯的減輕（突然減少約20公斤），又這12個月以來糖化血色素又上昇了（0之多），不知我現在的情況是否已符合「第一型的糖尿病」——— 因為這段時間為了讓體重可以回昇一點，常常去吃到飽餐廳，但體重並未明顯回昇（現在172cm/60kg，最低曾57kg)。 1）請問我是第一型糖尿病人了嗎（在我的年記還會發生嗎） 2）常去吃到飽餐廳其實反而加劇上述指數嗎，不去了應可以改善？ 3）有方法可以改善胰島素分泌的能力嗎 謝謝您百忙中抽空解答。感謝,根據您提供的資料，您是第一型糖尿病的機率不高。 不去吃到飽餐廳，加強飲食控制，多運動應可以改善血糖。 改善生活型態，注意飲食，加強運動應可以改善。 另外提醒您，還有一些因素會影響您所提供的數值及體重。 謝謝您的來信
 糖尿病半夜醒來喝牛奶,我爸患有糖尿病，每次睡到一半都會爬起來喝牛奶再(馬上)回房間繼續睡，請問這樣對身體好嗎？謝謝,"一般而言,一杯250毫升的鮮奶,熱量大約150大卡左右;其中,包括醣類,蛋白質,脂肪與其他營養成分。目前資訊,無法得知為何要半夜起床喝牛奶;也許是習慣所致?也許是肚子餓, 血糖降低?也許是其他原因?建議您記錄他晚餐幾點用餐,晚餐後做何活動,使用何種降血糖藥劑,甚至用血糖機測量他喝牛奶前的血糖濃度等等.討論,可能是較好的方法.至於對身體的影響,最好是問題釐清以後再說"
 糖尿病諮詢,醫生你好： 我在時，抽飯前血糖98，醣化血色素8 再時，再抽飯前血糖91，醣化血素素7 但是到了再抽飯前血糖是102，抽血是104 但這兩次沒有再抽糖化血色素，然後開始覺得腳是不是有刺痛，疲勞，視力膜胡，頻尿等症狀 這樣是糖尿病嗎？我很恐慌 抱歉,"糖尿病的診斷標準是空腹血糖126以上, 或糖化血紅素5以上, 刺痛，疲勞，視力膜胡，頻尿,這些症狀目前無法用糖尿病解示"
 糖尿病問題,"好: 我患糖尿病已經5,6年,之前曾量過糖化血色素最高值是2,量過的飯前血糖最高約250,最近我積極減肥,去檢驗所量的結果,糖化血色素8,飯前血糖90,請問要怎樣更完整去量測我的血糖以證明我已不是糖尿病病患(雖然我知道正統西醫仍覺得糖尿病病患無法變好),謝謝",糖尿病目前只可控制無法根治，而控制方法包含飲食、運動與藥物控制，糖化血色素2可確定血糖控制不佳，而目前血糖90及糖化血色素8可知血糖控制良好。故不需去證明什麼，照目前方式控制血糖然後定期追蹤就可
 糖尿病,檢查血糖有糖尿病有買血糖機檢測現停用降血糖藥用食物控制現飯後血糖值維持10毫克但空腹為10毫克我已吃的很少一個月體重從78公斤降到69公斤 我是否要再恢復吃降血糖藥若不吃藥是否有其 他方法降血糖值謝謝,"因為血糖沒有很高,可以飲食控制,再配合運動,試一段時間並追&#36394;糖化血色素看長期血糖控制狀況,若不理想再加上口服降血糖藥物"
 麻煩的糖尿病,為什麼胰島素依賴型的糖尿病會多吃、多喝、多尿？可是卻又體重減輕、疲倦？ glucose 300mg/dl，HbA1C 8%，sodium 133mg/L，potassium 3mEq/L，chloride 101mg/L，bicarbonate 22mg/L，plasma ketones 1:8 dilution， urinary ketones 4+，這些生化檢查報告各代表什麼意義呢？ 麻煩您告訴我吧！,"糖尿病會產生多吃.多喝.多尿的三多症狀,當血糖升高時,會出現尿糖,而尿糖會有利尿作用, 就會出現多尿,多尿造成身體水分不足,就會產生多喝,多吃是因為中樞神經胰島素缺乏所致, 因尿糖會造成身體養分流失,所以會有體重減輕現象.檢查報告顯示有糖尿病酮酸中毒的跡象 ,處理"
 尿糖陽性,醫生，可以請問一下我用尿糖試紙飯後2小時有時候呈現弱陽性，今天居然驗到了2+，有點惶恐怕是糖尿病，不過有個現象就是空腹和中午晚上飯後卻都是陰性，吃東西前都會先把尿排過一次在驗，不知道為什麼就只有飯後會呈現陽性，所以想請教醫生有沒有可能是什麼原因造成，2個月前有驗過空腹血糖是95,糖尿病某些狀況是空腹血糖不高，但是餐後血糖就高了。建議可以先測飯後血糖值和糖化血色素看看。 另外，又有一些情形，如：腎臟的問題，藥物。等。看診
 糖尿病相關知識,您好：分已豆類、雜糧穀物為主，偏素食，但很喜愛吃甜品，若是自己煮東西、沖茶、可可等，砂糖一定是大把大把的加，不過因為平時有適度的體能活動與重量訓練，體型還還算標準，上述的情況會不會因為糖果、砂糖、甜食等吃太多將來容易罹患糖尿病？謝謝,"雖然無明顯證據證明多於糖吃糖會得糖尿病,但糖類吃多易胖,而且快速的血糖上升對身體亦不好,建議還是少吃精緻醣類,多吃五穀.糙米.燕麥較好"
 糖尿病患者口腔內巨痛,請問 我外婆得糖尿病已20多年 目前口腔內雖無破洞 但常常會覺得口腔內疼痛 一般熱食根本無法下嚥 只能吃冷食 請問 這應該看哪一科 或是有任何可以解決的辦法 謝謝~,口腔內疼痛應尋求牙科協助
 印度草本治療糖尿病?,"在最近的台灣醫界上看到一篇印度草本治療糖尿病的廣告,請問是真的嗎?謝謝!",igtseng您好： 抱歉因為出國致使無法及時回答您的問題。您提到的廣告我並沒看過。然而即使刊登在台灣醫界上它依然是”廣告”。來診斷及治療。不宜自己看廣告服藥。切記切記！ 衛教室 陳清彬
 關於糖尿病,"蕭你好:2抽血檢查,空腹血糖130,糖化血色素4%,醫生沒開藥說飲食控制就好.我有買血糖機每天驗次也飲食控制加減肥目前84公斤(原本102公斤),偶爾次飯後今天量血糖115(空腹17小時)比昨晚飯後107還高,我有發現好像空腹超過12小時會比空腹小時還高一點,請教蕭這是為什麼?? 以下近10日驗血糖指數.5號(早餐前92午餐後(60分)(120分)晚餐後98)…6號 (早餐前91早餐後114晚餐後100)…7號(早餐前92午餐後130晚餐前95晚餐後107)…8號(早餐前94早餐後105晚餐後123)….9號(早餐前96早餐後116午餐後107晚餐後126)…10號(早餐前91午餐後99晚餐後101)。11號(早餐前88午餐後104晚餐後105)….12號(早餐前78早餐後91午餐後124晚餐後82)。13號(早餐前91午餐後128晚餐後107)….14號(早餐前115) 以上早餐前空腹超過12小時餐後2小時 PS:本身有高血壓.高血脂肪症.尿蛋白.B肝第5級脂肪肝 感謝蕭抽空回答","一般而言,空腹的血糖值126mg/dl時,糖化血色素值(HBA1c)大約 5%.因此,您兩個月前的檢驗數值,應該是可信的. 糖尿病的分類中,第2型糖尿病佔所有糖尿病的%左右.其病理機轉,與家族傾向和遺傳有關,剛開始是胰島素阻抗與高胰島素血症,接著血糖異常,葡萄糖耐量試驗異常,胰臟貝他細胞衰竭,最後出現第二型糖尿病.閣下的體重在大約10週內由102公斤,降至84公斤,平均每週下降8公斤;比起通常所建議的每週下降5公斤快很多.希望仍需注意睡眠要足夠,用餐速度放慢,細嚼慢嚥,每餐八分飽即可;避免宵夜或晚餐過飽.也要避免有含有反式脂肪(如奶油,酥油,三合一咖啡,二合一咖啡,奶茶等)與玉米果糖(含糖飲料,可樂等)等食品;因為這些物質,熱量過高,卻又沒有飽足感,胖了以後,不容易減重.也容易發生脂肪肝.講這麼多,就是怕閣下因為減重速度太快,導致體重反彈性升高回復.事實上,體重在減輕的過程中,身體的代謝型態與速度,都同時在做調整;減重太快,會有身體一下子無法適應的可能,導致體重反彈性升高,對身體反而不好. 當體重下降時,高血壓,高血脂症,蛋白尿與脂肪肝的嚴重度,理論上都會有不同程度的改善.例如;體重下降公斤以上時,血壓值會開始下降. 晚餐後血糖107mg/dl,空腹17小時的血糖115mg/dl.其實在血糖機所測的微血管血糖,差別不大,個人認為不必太在意.當然,也有可能是因為餓太久了,導致交感神經活性昇高,腎上腺素升高,於是血糖也升高.但是,閣下一連十天頻繁的血糖偵測,顯示的數值都不錯.所以,應該不用太擔心.較長期的血糖表現與糖化血色素值,才是有意義的. 飲食控制,規律的運動與生活型態的改變,目前仍是高血糖控制的不二法門;There is no royal road.(無君王之路).另外,保持良好的聯繫與討論為宜. 這封電子郵件,因為本人可能因為信件過多,誤觸刪除指令,導致延誤,在此致歉"
 再次詢問第二次問題-蕭永薰醫師,"第一次發問的原文:(已回覆,再次詢問第二次問題) -------------------------------------------------------------------------- 你好! 我最近去驗糖化血色素,報告是5% (沒有驗飯前和飯後血糖) 我想請問我是否正式得到糖尿病,以前驗糖化血色素是1%(相差一個月多驗的)(更久 以前驗糖化血色素都多左右). 有沒有說驗糖化血色素要隔多久時間驗?(主要是要驗有沒有糖尿病,如果須要第二次驗證) 我下一次驗糖化血色素是12月中左右,如果驗出低於5%(包括不等於5%),就正常的話,就是說沒有得到糖尿病? 診斷糖尿病是以一次驗出糖化血色素不正常,就得到糖尿病,還是必須要第二次驗出糖化血色素不正常,才是正式得到糖尿病? 驗糖化血色素是否還要再次驗飯前和飯後血糖,才能診斷糖尿病,還是糖化血色素就可以了? 糖化血色素參考值是6~6,7~ 目前體重113kg左右。 回覆~~~~~~~~~~~~~~~~~~~~~ --------------------------------------------------------------------------- 的之前回覆 的之前回覆,那意思就是我還沒有得到糖尿病?還是其它? 回覆~~~~~~~~~~~~~~~~~~~~~","討論為宜;HBA1c 5% 已經接近糖尿病了.所以,一定要注意飲食控制,避免過量;也要多運動才好"
 糖尿病的問題?(有修改問題內容),"你好! 我最近去驗糖化血色素,報告是5% (沒有驗飯前和飯後血糖) 我想請問我是否正式得到糖尿病,以前驗糖化血色素是1%(相差一個月多驗的)(更久 以前驗糖化血色素都多左右). 有沒有說驗糖化血色素要隔多久時間驗?(主要是要驗有沒有糖尿病,如果須要第二次驗證) 我下一次驗糖化血色素是12月中左右,如果驗出低於5%(包括不等於5%),就正常的話,就是說沒有得到糖尿病? 診斷糖尿病是以一次驗出糖化血色素不正常,就得到糖尿病,還是必須要第二次驗出糖化血色素不正常,才是正式得到糖尿病? 驗糖化血色素是否還要再次驗飯前和飯後血糖,才能診斷糖尿病,還是糖化血色素就可以了? 糖化血色素參考值是6~6,7~ 目前體重113kg左右。 回覆~~~~~~~~~~~~~~~~~~~~~","一般而言,第2型糖尿病的發生是漸進式的,而且與遺傳,體重,缺乏運動,飲食過量,酗酒與藥物等因素有關.閣下的體重113公斤,其實就是一項罹病危險因子;而且,肥胖的時間愈久,得到糖尿病的機會也就愈大. 糖尿病的診斷標準,幾十年來都有些微的變動;但是,也更貼近病情漸進發展的事實.如果隨機測試的血糖超過200mg/dl,加上多飲,多尿,多渴,體重減輕,傷口不易癒合等症狀;大概就可以診斷為糖尿病.當然,空腹血糖大於126 mg/dl或糖化血色素大於5%,也要考慮是否為糖尿病.另外,耐糖試驗(OGTT),飯後兩小時的血糖值,都可以做為參考.重複試驗的目的,有時是因為診斷的需要,有時是因為避免檢驗誤差或其他干擾因素的影響. 近年來,糖化血色素的檢驗漸漸標準化,也較為可靠;所以,被引用在糖尿病的診斷.它主要反應病人六個禮拜以來血糖的平均值.例如:糖化血色素值5%,表示病人的空腹血糖值約略為126mg/dl.因為紅血球在人體內的平均壽命為90~120天,所以糖尿病病患經常三個月檢驗一次糖化血色素,可以較明顯地看到血糖較長期的變化. 有一些病患,空腹血糖值正常;可是,飯後2小時的血糖值會明顯升高.因此,飯後血糖或耐糖試驗(OGTT)也常被使用來偵測是否為糖尿病或糖尿病的前期狀態;而不是單用空腹血糖值來排除是否為糖尿病. 閣下的糖化血色素值有逐年升高的趨勢;推測:在代謝症候群的道路上,正往糖尿病前進.建議您放慢吃飯的速度,吃八分飽;避免高熱量與高脂的飲食,也要避免市售的飲料(尤其是含有玉米果糖,奶精,反式脂肪等).晚餐不要吃太飽;不過,睡眠一定要充足.此外,建議多散步,多運動.如果能夠嚴格執行,體重應該可以減低,下一次的糖化血色素值也會改善. 的處理,應該是很正確的.建議您持續追蹤,並與之討論為宜"
 糖尿病患者檢查眼睛,想請教關於檢查眼睛的問題。 父親有第二型糖尿病，是固定在彰基看診（每三個月回診一次）以及拿藥（每個月拿一次）。 上一次看診的時候，有要求父親順便到彰基的眼科檢查眼睛， 但是父親卻沒有另外再找一天回去眼科看眼睛的報告， ，像這樣的檢查，開單子要父親去做眼睛的檢查， 那兒呢？ 還是眼科歸眼科，報告不會彙整，必須要另外到眼科看報告呢？ 如果眼睛有狀況的話，會告知嗎？還是要由眼科那邊告知呢？ 謝謝醫生的回覆,"為了早期診斷與治療糖尿病眼底病變,醫學上建議每年至少一次要做眼底與眼科相關的檢查.的檢查應該是合理且必須的. 至於報告如何讀取與告知,或有不同;因此,相關科室詢問為宜"
 有關糖尿病便祕,想請問你，我爸便秘已經很多天了，找不到有甚麼辦法可以緩解，爸爸有高血壓和 血糖過高的問題，爸爸說是吃血糖的要才出現便秘的問題，有甚麼辦法?? 高血壓家血糖的藥有很多顆，可以不靠吃藥改善嗎??,"您好: 令尊便秘問題如果真是因為服用降血糖藥引起, 反應,知道.可更改藥物或給予軟便劑.高血壓可採低鈉飲食改善, 糖尿病需飲食控制及運動, 但是不一定可完全控制,份病人仍需長期使用藥物治療. 請記得若使用藥物後有任何不良反應，幫忙解決,勿自行處理,以免問題惡化. 祝您及家人健康!"
 有關糖尿病的幾個問題,您好： 我想請問關於糖尿病高危險群的問題 我本身是膽結石患者，已經切除膽囊 請問沒有膽囊會提高第二型糖尿病的罹患率嗎？ 我家族的病史中，確診糖尿病的有我家兄(34歲，有「三高」)及外曾祖母兩位 我本身沒有三高，體重及腰圍也在正常範圍(BMI22，腰圍69cm) 膽固醇及三酸甘油脂也都正常 因為哥哥很年輕就有二型糖尿(他本身作息及飲食習慣極度不正常) 身為二等親的我很怕得糖尿病 尤其切除膽囊後整天想東想西 有油的東西都不敢吃了。 謝謝您!,"具有第2型糖尿病家族史,的確較有可能罹患糖尿病.這種看似家族群聚的罹患史,有可能是遺傳所致,也有可能是共同生活所塑造出來相仿的飲食與生活習慣所致.關於第2型糖尿病的發展史,一般是從肥胖--型肥胖或腰圍過大--開始,演變成代謝症候群,包括腰圍過大,血壓升高,三酸甘油酯值偏高,高密度酯蛋白值過低,與空腹血糖值偏高.臨床上會出現葡萄糖耐受不良的現象;最終才會出現多尿,多渴,多食,傷口不易癒合與體重減輕的症狀.因此,第 2 型糖尿病的出現,不是一蹴可及,而是逐漸發展成病的.維持良好的飲食習慣與生活型態,都可以延緩糖尿病的出現,甚至杜絕其發生. 膽汁由肝臟製造,蓄積在膽囊?,當進食的時候--尤其食物內含有大量脂肪物質時--膽囊會收縮,膽汁會分泌到小腸內,進行乳化作用(emulsification),使得油脂可以與水混合,才能吸收.因此,膽囊切除後,膽汁無法蓄積與一次大量釋放,導致短時間內攝取大量的油脂食物,容易發生腹瀉等症狀.目前不認為膽囊切除與第2型糖尿病的發生有直接關係. 第2型糖尿病的預防,的衛教專欄都有,不一一陳述.個人建議: a.放慢用餐的速度,以免胃撐大以後,才覺得吃飽,這時已經攝取過量,體內胰島素會大量分泌,於是又吃更多更飽. b.三餐吃八分飽即可;避免胰島腺的負擔. c.規律的運動,尤其飯後建議散散步約30分鐘.良好的運動習慣,比較不會常有飢餓的感覺. d.晚餐不宜吃太飽,尤其不要吃飽即跑去睡覺. e.晚上要早睡,睡眠要充足;可以促進瘦素的分泌,幫助體重的控制. f.避免反式脂肪的攝取;包括奶精(含於三合一咖啡,二合一咖啡,夾心餅乾,人工奶油等等),酥油,白油等. g.避免玉米果糖的攝取,常含於可樂,市售的甜點,飲料等等. 如果還有疑問,再次討論為宜"
 糖尿病認定標準,請教一下 因為我最近投保保險時 因為據實告知曾有被檢測出HbA1c高達0 之後就一直被拒絕承保 我的疑惑是 我檢測出之後一直維持在0~3之間 且是未服用的狀況下 血糖值則是不穩的狀況120~140之間 請問這可以算是已經罹患糖尿病嗎? 且不可治癒了嗎? 謝謝,一般而言，糖尿病診斷為空腹血糖 126以上或醣化血色素 5% 以上、葡萄糖口服測試2小時血糖200以上。早期糖尿病可以藉由飲食調整或適度運動、減重等達到良好血糖控制，但隨著年紀越大，胰島細胞的功能退化，之後可能慢慢需要加入藥物來控制血糖，但仍需飲食跟運動的配合來達成良好的血糖控制
 糖尿病的疑慮,我有家族尿病史 我爸爸跟外婆 而我媽這邊是只有我奶奶 我在大一的時候學校有過體檢 當時是空腹105 沒有尿糖 我今年用我外婆的糖尿病機自己測的時候是 空腹85 飯後兩小時是 92 請問這種家裡自行量的機器準嗎 做檢測嗎 因為我從來沒做過這事的檢驗? 大家都說有家族病史的要定時檢查 那我用這種機器就好 檢查??,"空腹血糖100至126為空腹葡萄糖耐受不良, 126以上才為糖尿病. 一般以抽血的報告為準也較準確. 指間血糖的數值亦可參考。 空腹葡萄糖耐受不良須注意飲食並建議規則運動, 以後成為糖尿病的機率較一般人高, 進一步確定"
 第一型糖尿病能服口服避孕藥嗎?,"我是第一型糖尿病患者,因近期要出遊玩水怕遇到經期來,所以去看婦產科開延經的藥,開給我祈麗安錠成分有 Gestodene 075mg Ethinylestradiol 03mg 那我能服用嗎?",有關延經的藥品會內含荷爾蒙(Hormone) 會影響血糖 一般不建議使用 親自問診 進行判斷 感謝您的來信
 糖尿病的再次檢驗,我想請問關於糖尿病的問題。 抽血檢驗，醫生告知有糖尿病，(抽血報告是寫飯前200) 隨即開始打針吃藥， 頭一個月爸爸自己驗血糖發現忽高忽低，飯前大約在100~130左右， 告知醫生之後，醫生加重藥量及打針的劑量(由10增為12)， 所以第二個月自己驗血糖，飯前的數值降為70~100左右。 現在的困擾在於，是臨時被抽血，沒有忌口， 被醫生告知有糖尿病，爸爸十分錯愕，也不太願意相信。 現在第三個月，爸爸不想再吃藥打針， 想要過一陣子去彰基重新抽血檢驗。 我想請教醫生， 如果停止吃藥打針一個月，對於糖尿病的病情發展會不會有嚴重的影響呢？ 基本上家人並不排斥爸爸再次去彰基檢驗，家人也知道應該是有糖尿病，否則怎麼自己在家驗血糖會數據這麼高？ 但是只有這樣子爸爸才會相信也才會心甘情願吃藥， 只是很擔心停一個月的打針吃藥會造成病情急速惡化。 謝謝醫生,有糖尿病的病人若隨便停藥易有高血糖的併發症，嚴重可以導致高血 糖高滲透壓狀態，請勿任意停藥或加藥。 現在都可以驗HbA1c(糖化血色素)，可看出最近三個月的平均血糖，大 於5就是糖尿病，算是很客觀的檢查
 腳跟水泡有黑色塊狀,"家父有心導管裝過支架,有糖尿病控制不好,飯前血糖大約都在250~350之間,目前早晚打胰導素,前兩天右腳跟有水泡兩處,一個約50元硬幣大小,另一個只有一點點又有點黑黑的(我一開始以為是淤青),今天左腳跟又出現象淤青快變成水泡狀(就是有點突起,不平整),本來以為家父不小心自己撞到,但是他說沒有,隔壁有阿公說他老婆以前也是這樣,醫生說是下肢血管塞住才會這樣,糖尿病病人很常見。請問,可能是血管塞住嗎?或其他原因嗎?家父有吃抗凝血的藥,會不會是藥物造成的? 我該看哪一科?糖尿病門診還是外科還是心臟血管科?謝謝",糖尿病患者易有血管硬化阻塞等病變 吃抗凝血藥易引起皮下淤血 看診 詳細診察 是否有無需要再轉診相關科別進行治療
 糖尿病問題,您好1我目前使用諾和密斯30有知道更好的藥嗎2使用胰島素會有什麼後遺症嗎如造成器官衰竭,"陳先生:您好! 有關您對胰島素使用的疑慮,請教討論比較適宜.祝您健康!"
 糖尿病,糖尿病患有在吃藥可以捐血嗎,請參考衛生署公佈之「捐血者健康標準」： 第四條：捐血者有下列情形之一者，應暫緩捐血。 五、現患、梅毒、活動結核病、「糖尿病」、心臟病、消化道潰瘍出血、高血壓、腎臟、哮喘、感冒、急性感染、傳染病、過敏病症者
 關於糖尿病併發神經病變,"敝姓李，你好： 問題一：最近阿嬤出現手指末端沒感覺的情況，尤其食指、中指及無名指更為嚴重，除了手指麻木沒感覺腳也會麻，分已經持續數年吧！分近幾個月開始，她約有20年左右的高血壓、糖尿病及心臟病，長期拿藥，每個月去一次，我猜想阿嬤最近手指沒感覺的情況是因為糖尿病併發神經病變引起的，她長期服用的藥物其中有cobamamide 250mcg 1顆 QID，另有HydrochloroTHIAzide 50mg 1tab QD, Atenolol 100mg 1tab QD,Nobar 5mg 1tab QD, Uformin 500mg 1tab QD,Liquid Brown Mixture 5c.c. QID, 不知道還有沒有其他方法可以改善阿嬤的情況？ 問題二：剛上述提即長期都在拿藥，是在一般內科，阿嬤血壓的狀況近來不太穩定，近日常測量到1-60mmHg血壓，阿嬤有說頭痛或頭暈情況，尤其最近天氣開始變化，曾經問過醫生能否開PRN血壓藥物給我們，但醫生回答阿嬤藥物已經開太多種無法再開，除非再掛別科，請問一個科別是不是有規定只能開幾種藥物？我是否需要再另外掛別的科別？ 給予寶貴回答～ 另外，不知道貴院是否有可諮詢電話？或其他管道可聯絡？","糖尿病神經病變常見四肢末端麻痛或感覺遲鈍,有如戴手套的狀況,有糖尿病衛教師可先做足底測試,若需進一步檢查可至神經科評估,進一步做神經傳導檢查 。 糖尿病神經病變目前並無有效治療方式,可用含Capsaicin(辣椒素)止痛,或使用止痛藥,三環抗憂鬱藥等減輕疼痛,可至神經科或疼痛科門診評估。 血壓方面,因已含三種降血壓藥物,建議至心臟科門診進一步評估或調整藥物"
 糖尿病患者腳受傷,我媽媽今年55歲 有糖尿病 高血壓 9月初車禍受傷急診開刀後 右膝蓋小腿共三個傷口 原本住滿六天後出院 結果可能是沒照顧好傷口 一周之後因為小腿紅腫不消+傷口極度疼痛 重新回去住院 第二次進手術房清創清了一次 之後就一直住院到現在已經兩個禮拜了 每天都是打抗生素+吃止痛藥+兩~三次換藥 膝蓋的傷口一直好不了 一直有膿 不多 但都不停 小腿的紅腫完全無法消退 不管怎樣冰敷都沒辦法消退 碰了還會刺痛 醫生都說因為糖尿病的關係 傷口很難好 我擔心的是 這樣子住院下去真的會有痊癒的一天嗎? 我弟曾經說要不要轉院 但我懷疑轉院會比較好嗎? 轉院也不知道要轉到哪裡。 一直打抗生素對身體會不會有影響? 我媽胃口很不好 每天吃一點點而已 有時候血糖還過低 我都是心裡著急不敢講 一直勸他多吃 除了打抗生素吃止痛藥以外 有沒有更有效率的辦法呢 聽說給病人吃維他命B會有幫助，請問是可行的嗎? 分呢? 謝謝醫生的解答，非常感激,您好： 您母親病情滿複雜的。有糖尿病問題、傷口感染化膿問題、營養為題等等。討論後再決定需不需要轉院
 糖尿病,"您好: 我們家中有遺傳病史,門診控制,家中的其他人很害怕會不會有糖尿病,但不知要如何知道自己有沒有糖尿病",糖尿病具有遺傳性，您的爺爺有糖尿病，其子女皆屬糖尿病危險群，糖尿病會有三多(吃多、喝多及尿多)和體重減輕的症狀，但約有百分之30的病人症狀不明顯，篩檢是最保險的作法，您家中40歲以上或肥胖者應每年測血糖，歡迎您及家屬到新陳代謝科門診進行篩檢
